old_url,decision,new_url,family,evidence_state,cutover_rule
/,KEEP 200,/,core,durable,keep
/camarotes,KEEP 200,/camarotes,camarotes,durable,keep
/camarote-nido,KEEP 200,/camarote-nido,product,durable,keep
/camarote-triple,KEEP 200,/camarote-triple,product,durable,keep
/camarote-doble,KEEP 200,/camarote-doble,product,durable,keep
/cama-alta,KEEP 200,/cama-alta,product,durable,keep
/camarote-titanic,KEEP 200,/camarote-titanic,product,durable,keep
/camarote-1-5-plazas,KEEP 200,/camarote-1-5-plazas,product,durable,keep
/camarote-desmontable,KEEP 200,/camarote-desmontable,product,durable,keep
/cama-dos-plazas-con-cajon,KEEP 200,/cama-dos-plazas-con-cajon,product,durable,keep
/camarote-2-plazas,KEEP 200,/camarote-2-plazas,product,durable,keep
/cama-institucional-metalica,KEEP 200,/cama-institucional-metalica,product,durable,keep
/cama-loft-metalica,KEEP 200,/cama-loft-metalica,product,durable,keep
/cama-loft-con-escritorio,KEEP 200,/cama-loft-con-escritorio,product,durable,keep
/mobiliario-institucional,KEEP 200,/mobiliario-institucional,institutional,durable,keep
/camarote-con-escritorio,KEEP 200,/camarote-con-escritorio,product,durable,keep
/cierres-perimetrales,KEEP 200,/cierres-perimetrales,cierres,durable,keep
/mallas-3d,KEEP 200,/mallas-3d,mallas,durable,keep
/rejas-metalicas,KEEP 200,/rejas-metalicas,rejas,durable,keep
/portones-metalicos,KEEP 200,/portones-metalicos,portones,durable,keep
/estructuras-metalicas,KEEP 200,/estructuras-metalicas,estructuras,durable,keep
/fabricacion-metalica,KEEP 200,/fabricacion-metalica,fabricacion,durable,keep
/pintura-electrostatica,KEEP 200,/pintura-electrostatica,services,durable,keep
/camas-metalicas,REBUILD,/camas-metalicas,camas,new owner,keep
/camas-balinesas,REBUILD,/camas-balinesas,camas,new owner,keep
/mesas-metalicas,REBUILD,/mesas-metalicas,equipment,new owner,keep
/escritorios-metalicos,REBUILD,/escritorios-metalicos,equipment,new owner,keep
/mallas-separadoras,REBUILD,/mallas-separadoras,mallas,new owner,keep
/soldadura-mig,REBUILD,/soldadura-mig,services,new owner,keep
/corte-metalico,REBUILD,/corte-metalico,services,new owner,keep
/instalacion,REBUILD,/instalacion,services,new owner,keep
/reparaciones-metalicas,REBUILD,/reparaciones-metalicas,services,new owner,keep
/literas,REVIEW,/camarotes,camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-baratos,REVIEW,/camarotes,camarotes price,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-precio,REVIEW,/camarotes,camarotes price,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
