old_url,candidate_owner,evidence_state,cutover_rule
/literas,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/litera-metalica,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-adultos,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-baratos,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-precio,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-faenas,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-salmoneras,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-mineria,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-metalicos,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/fabricante-camarotes-chile,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-al-por-mayor,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-para-internados,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-para-hospitales,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-militares,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-providencia,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-las-condes,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-maipu,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-nunoa,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-la-florida,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-pudahuel,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-santiago-centro,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-penalolen,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-quilicura,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-puente-alto,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-san-bernardo,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-renca,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-estacion-central,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarotes-lo-barnechea,/camarotes,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarote-con-escritorio-economico,/camarote-con-escritorio,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarote-con-escritorio-full,/camarote-con-escritorio,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/camarote-con-escritorio-full-2-plazas,/camarote-con-escritorio,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/reja-metalica-santiago,/rejas-metalicas,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/rejas-metalicas-pudahuel,/rejas-metalicas,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/rejas-metalicas-maipu,/rejas-metalicas,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/rejas-metalicas-cerrillos,/rejas-metalicas,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/rejas-metalicas-puente-alto,/rejas-metalicas,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/rejas-metalicas-precio,/rejas-metalicas,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/rejas-metalicas-para-casas,/rejas-metalicas,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/rejas-decorativas,/rejas-metalicas,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/rejas-para-exteriores,/rejas-metalicas,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/rejas-para-terraza,/rejas-metalicas,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/rejas-para-balcon,/rejas-metalicas,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/portones-industriales,/portones-metalicos,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/cercos-para-empresas,/cierres-perimetrales,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/cercos-para-parcelas,/cierres-perimetrales,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/cercos-perimetrales-concepcion,/cierres-perimetrales,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/cercos-perimetrales-antofagasta,/cierres-perimetrales,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/mallas-separadoras-industriales,/mallas-separadoras,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/soldadura-metalica-santiago,/soldadura-mig,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/pintura-electrostatica-zona-sur-santiago,/pintura-electrostatica,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/pintura-electrostatica-colina,/pintura-electrostatica,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/pintura-electrostatica-las-condes,/pintura-electrostatica,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/pintura-electrostatica-providencia,/pintura-electrostatica,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/pintura-electrostatica-santiago-centro,/pintura-electrostatica,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/pintura-electrostatica-maipu,/pintura-electrostatica,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/pintura-electrostatica-talagante,/pintura-electrostatica,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/pintura-electrostatica-la-pintana,/pintura-electrostatica,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
/pintura-electrostatica-la-cisterna,/pintura-electrostatica,LIVE-OBSERVED GSC-PENDING,no redirect until resolved
